name,prompt,negative_prompt
Camera Aerial View 🎥,"((Aerial View)),{prompt}",
Camera Camera Close 🎥,"((Camera Close)),{prompt}",
Camera Camera Middle Distance 🎥,"((Camera Middle Distance)),{prompt}",
Camera Cinematic Still-Shot 🎥,"((Cinematic Still-Shot)),{prompt}",
Camera Cinematic 🎥,"((Cinematic)),{prompt}",
Camera Close-Up 🎥,"((Close-Up)),{prompt}",
Camera Drone Footage 🎥,"((Drone Footage)),{prompt}",
Camera Dutch-Angle 🎥,"((Dutch-Angle)),{prompt}",
Camera Eye-Level Shot 🎥,"((Eye-Level Shot)),{prompt}",
Camera Far Away 🎥,"((Camera Far Away)),{prompt}",
Camera Far-Angle 🎥,"((Far-Angle)),{prompt}",
Camera Far-Shot 🎥,"((Far-Shot)),{prompt}",
Camera Food Photography 🎥,"((Food Photography)),{prompt}",
Camera Full-Body Shot 🎥,"((Full-Body Shot)),{prompt}",
Camera Full-Length Shot 🎥,"((Full-Length Shot)),{prompt}",
Camera Full-Shot 🎥,"((Full-Shot)),{prompt}",
Camera Glamour Portrait 🎥,"((Glamour Portrait)),{prompt}",
Camera Glamour Shot 🎥,"((Glamour Shot)),{prompt}",
Camera Ground Angle 🎥,"((Ground Angle)),{prompt}",
Camera Ground-Shot Angle 🎥,"((Ground-Shot Angle)),{prompt}",
Camera Ground-Shot 🎥,"((Ground-Shot)),{prompt}",
Camera High Angle 🎥,"((High Angle)),{prompt}",
Camera High-Angle Shot 🎥,"((High-Angle Shot)),{prompt}",
Camera Low-Angle Shot 🎥,"((Low-Angle Shot)),{prompt}",
Camera Macro-Shot 🎥,"((Macro-Shot)),{prompt}",
Camera Macrophotography 🎥,"((Macrophotography)),{prompt}",
Camera Magazine Photography 🎥,"((Magazine Photography)),{prompt}",
Camera Medium-Shot Angle 🎥,"((Medium-Shot Angle)),{prompt}",
Camera Medium-Shot 🎥,"((Medium-Shot)),{prompt}",
Camera Nature Photography 🎥,"((Nature Photography)),{prompt}",
Camera Portrait Photography 🎥,"((Portrait Photography)),{prompt}",
Camera Satellite View 🎥,"((Satellite View)),{prompt}",
Camera Sports Photography 🎥,"((Sports Photography)),{prompt}",
Camera Stock Photography 🎥,"((Stock Photography)),{prompt}",
Camera Surreal Angle 🎥,"((Surreal Angle)),{prompt}",
Camera Top-Down Perspective 🎥,"((Top-Down Perspective)),{prompt}",
Camera Top-Down Shot 🎥,"((Top-Down Shot)),{prompt}",
Camera Unusual Angle 🎥,"((Unusual Angle)),{prompt}",
Camera Wedding Photography 🎥,"((Wedding Photography)),{prompt}",
Camera Wide-Angle 🎥,"((Wide-Angle)),{prompt}",
Camera photographed by Sports Illustrated 🎥,"((photographed by Sports Illustrated)),{prompt}",
Camera photographed by Vogue 🎥,"((photographed by Vogue)),{prompt}",
Caricature,"Caricature, {prompt}, exaggerated, comical, caricature","ugly, deformed, noisy, blurry, low contrast, realistic"
Cat Starter,"(masterpiece), (best quality), (official art, extremely detailed CG unity 8k wallpaper), (highly detailed),((cat)),extremely detailed eyes,","sketch, duplicate, ugly, huge eyes, text, logo, worst face, (bad and mutated hands:1.3), (worst quality:2.0), (low quality:2.0), (blurry:2.0), horror, geometry, bad_prompt, (bad hands), (missing fingers), multiple limbs, bad anatomy, (interlocked fingers:1.2), Ugly Fingers, (extra digit and hands and fingers and legs and arms:1.4), ((2girl)), (deformed fingers:1.2), (long fingers:1.2),(bad-artist-anime), bad-artist, bad hand, extra legs, nipples,3D,(((1girl)))"
Cel Shaded Art,"Cel Shaded Art, {prompt}, 2D, flat color, toon shading, cel shaded style","ugly, deformed, noisy, blurry, low contrast"
Character Concept Design,"character design concept showing the front, the back, the side and partial turn views of the character, full shot, intricate detail, blank background:",
Character Design Sheet,"Character Design Sheet, {prompt}, character reference sheet, character turn around","ugly, deformed, noisy, blurry, low contrast"
Character: Beautiful Thin Disney Princes,"Beautiful thin Disney princess, Pixar style",
Character: Beautiful skinny woman,Beautiful skinny woman,
Character: Beautiful thin woman,Beautiful thin woman,
Character: Handsome Disney Prince,"Handsome Disney prince, Pixar style",
Character: Handsome athletic man,Handsome athletic man,
Character: Pixar Robot,Pixar robot,
Character: Robot,Robot,
Character: handsome muscular man,Handsome muscular man,
Chinese Style Model,"best quality, masterpiece, highres, 1girl,china dress,Beautiful face",", lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet"
Classicism Art,"Classicism Art, {prompt}, inspired by Roman and Greek culture, clarity, harmonious, classicism art","ugly, deformed, noisy, blurry, low contrast"
Collapse Fix,,"easynegative, bad-hands-5"
Color Field Painting,"Color Field Painting, {prompt}, abstract, simple, geometic, color field painting style","ugly, deformed, noisy, blurry, low contrast"
Colored Pencil Art,"Colored Pencil Art, {prompt}, colored pencil strokes, light color, visible paper texture, colored pencil art","ugly, deformed, noisy, blurry, low contrast"
Comic Art,"Retro style artwork, comic book art, high details, comic book cover, symmetrical, vibrant colors",
Conceptual Art,"Conceptual Art, {prompt}, concept art","ugly, deformed, noisy, blurry, low contrast"
Constructivism,"Constructivism Art, {prompt}, minimalistic, geometric forms, constructivism art","ugly, deformed, noisy, blurry, low contrast"
Control Room,"steampunk happy Funny cartoonish at a complex nuclear control room, by Gediminas Pranckevicius H 704, machinarium style, intricate",
CounterFeit Model Exclusive,"masterpiece, best quality",EasyNegative
Cubism,"Cubism Art, {prompt}, flat geometric forms, cubism art","ugly, deformed, noisy, blurry, low contrast"
Cute Creature,"cute cute cute creature, an illustration by esao andrews, cyril rolando and goro fujita, deviantart, fantasy art, storybook illustration, oil on canvas",
Cute Creatures,"3d fluffy, closeup cute and adorable, cute big circular reflective eyes, long fuzzy fur, Pixar render, unreal engine cinematic smooth, intricate detail, cinematic",
Cute Kawaii,"cute, tiny, little chibi, kawai, furry, great face expression, dynamic pose, trending on artstation, cinematic, hyper realism, high detail, 8k, 8mm, octane render, bokeh, artstation, detailed, character design by mark ryden and pixar",
CyberPunk,"cyberpunk, in heavy raining futuristic tokyo rooftop cyberpunk night, sci-fi, fantasy, intricate, very very beautiful, elegant, neon light, highly detailed, digital painting, artstation, concept art, soft light, hdri, smooth, sharp focus, illustration,",
DEFAULT,"(masterpiece, best quality:1.3), incredibly absurd res, detailed, ultra detailed, depth of field, bokeh, 1 girl, solo, alone, standing and posing in the center, looking at viewer <lora:add_detail:1> ","(worst quality:1.4), (low quality:1.4), easynegative, badhandv4, bad-hands-5, finger, toe, glasses, face cover, beard, mustache"
DMT Art Style,"DMT Art Style, {prompt}, bright colors, surreal visuals, swirling patterns, DMT art style","ugly, deformed, noisy, blurry, low contrast"
Dadaism,"Dadaism Art, {prompt}, satirical, nonsensical, dadaism art","ugly, deformed, noisy, blurry, low contrast"
Dark,"Style of stephen gammell, watercolors, black and white, swamp, shadowy creatures, dripping, infected",
Dark Fantasy,"Dark Fantasy Art, {prompt}, dark, moody, dark fantasy style","ugly, deformed, noisy, blurry, low contrast, bright, sunny"
Dark Moody Atmosphere,"Dark Moody Atmosphere, {prompt}, dramatic, mysterious, dark moody atmosphere","ugly, deformed, noisy, blurry, low contrast, vibrant, colorful, bright"
DarkSushiMix,"(best quality, masterpiece, beautiful and aesthetic, colorful),({prompt}:1.5), (action shot, original art, extreme detailed, highest detailed, great lighting)<lora:add_detail:1.0>","(worst quality:1.4), (low quality:1.4), easynegative, badhandv4, bad-hands-5, finger, toe, glasses, face cover, beard, mustache"
Dataviz,"polygonal, hologram,orthographic projection lines,axis, blueprint, dataviz, infographic,tron, minority report interface,vaporwave, synthwave",
Default_Negative,,"Watermark, Text, censored, deformed, bad anatomy, disfigured, poorly drawn face, mutated, extra limb, ugly, poorly drawn hands, missing limb, floating limbs, disconnected limbs, disconnected head, malformed hands, long neck, mutated hands and fingers, bad hands, missing fingers, cropped, worst quality, low quality, mutation, poorly drawn, huge calf, bad hands, fused hand, missing hand, disappearing arms, disappearing thigh, disappearing calf, disappearing legs, missing fingers, fused fingers, abnormal eye proportion, Abnormal hands, abnormal legs, abnormal feet,  abnormal fingers"
Default_Negative (Low Token),,"lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry"
Default_Negative (sfw),,"NSFW, Cleavage, Pubic Hair, Nudity, Naked, Au naturel, Watermark, Text, censored, deformed, bad anatomy, disfigured, poorly drawn face, mutated, extra limb, ugly, poorly drawn hands, missing limb, floating limbs, disconnected limbs, disconnected head, malformed hands, long neck, mutated hands and fingers, bad hands, missing fingers, cropped, worst quality, low quality, mutation, poorly drawn, huge calf, bad hands, fused hand, missing hand, disappearing arms, disappearing thigh, disappearing calf, disappearing legs, missing fingers, fused fingers, abnormal eye proportion, Abnormal hands, abnormal legs, abnormal feet,  abnormal fingers"
Design: Grungy icon logo concept,"symbol, symbology,Dark grunge, logo design concept, symmetrical, centered, 16k, digital art, gradients, vignette, artstation, cinematic lighting, vivid",
Design: grunge icon logo design V2,"faded worn grungy Ancient (Cave art pictograms) portrait silhouette, Low Detail, logo, symbol, symbology,Dark grunge, logo design concept, symmetrical, centered, 16k, digital art, gradients, vignette, artstation, cinematic lighting, vivid",
Detail Enhancement,"hyper detailed,ultra-detailed",
Detail: Low,Low Detail,
Detail: Medium,Medium details,
Detail: Refined,Refined Details,
Detail: extreme,Extreme Details,
Detail: intricate,intricate details,
Digital Art,"intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by wlop, charlie bowater and alexandra fomina",
